SIMULATION,113.6106026,22.3796702,88.5,4.4,84.2,4.9,0.98,-0.35
USV_BALL,113.6106026,22.3796702,88.5,4.4,84.2,4.9,0.98,-0.35
SIMULATION,113.6106111,22.3796706,86.1,4.5,85.1,4.4,0.88,-0.24
SIMULATION,113.6106188,22.3796712,84.4,4.5,85.9,4.0,0.79,-0.17
SIMULATION,113.6106257,22.3796719,83.2,4.6,86.6,3.6,0.71,-0.12
SIMULATION,113.6106319,22.3796726,82.4,4.7,87.2,3.2,0.64,-0.08
SIMULATION,113.6106375,22.3796733,81.9,4.8,87.8,2.9,0.58,-0.06
SIMULATION,113.6106425,22.3796740,81.5,4.8,88.3,2.6,0.52,-0.04
SIMULATION,113.6106470,22.3796746,81.2,4.9,88.8,2.3,0.47,-0.03
SIMULATION,113.6106511,22.3796752,81.1,5.0,89.2,2.1,0.42,-0.01
SIMULATION,113.6106547,22.3796757,80.9,5.0,89.6,1.9,0.38,-0.01
SIMULATION,113.6106580,22.3796762,80.9,5.1,89.9,1.7,0.34,-0.01
SIMULATION,113.6106609,22.3796766,80.9,5.1,90.2,1.5,0.31,-0.00
SIMULATION,113.6106636,22.3796770,80.8,5.2,90.5,1.4,0.28,-0.01
SIMULATION,113.6106730,22.3796792,70.8,5.4,91.4,5.0,1.00,-1.00
SIMULATION,113.6106819,22.3796828,61.9,5.8,92.4,5.0,1.00,-0.89
SIMULATION,113.6106902,22.3796875,56.1,6.3,93.2,5.0,1.00,-0.58
SIMULATION,113.6106981,22.3796927,52.2,6.9,94.0,5.0,1.00,-0.39
SIMULATION,113.6107057,22.3796984,49.7,7.5,94.8,5.0,1.00,-0.26
SIMULATION,113.6107130,22.3797043,47.9,8.2,95.6,5.0,1.00,-0.17
SIMULATION,113.6107201,22.3797104,46.8,8.9,96.3,5.0,1.00,-0.11
SIMULATION,113.6107267,22.3797162,46.0,9.5,97.0,4.7,0.94,-0.08
SIMULATION,113.6107326,22.3797216,45.4,10.1,97.6,4.2,0.85,-0.05
SIMULATION,113.6107379,22.3797264,45.1,10.7,98.1,3.8,0.76,-0.04
SIMULATION,113.6107426,22.3797308,44.8,11.1,98.6,3.4,0.69,-0.03
SIMULATION,113.6107469,22.3797347,44.6,11.6,99.0,3.1,0.62,-0.02
SIMULATION,113.6107506,22.3797383,44.5,12.0,99.4,2.8,0.56,-0.01
SIMULATION,113.6107541,22.3797415,44.4,12.3,99.8,2.5,0.50,-0.01
SIMULATION,113.6107571,22.3797444,44.4,12.7,100.1,2.3,0.45,-0.01
SIMULATION,113.6107599,22.3797470,44.3,13.0,100.4,2.0,0.41,-0.01
SIMULATION,113.6107624,22.3797493,44.3,13.2,100.6,1.8,0.37,-0.00
SIMULATION,113.6107646,22.3797515,44.3,13.5,100.9,1.6,0.33,0.00
SIMULATION,113.6107666,22.3797534,44.3,13.7,101.1,1.5,0.30,0.00
SIMULATION,113.6107740,22.3797592,54.3,14.3,101.8,5.0,1.00,1.00
SIMULATION,113.6107823,22.3797638,64.3,14.8,102.7,5.0,1.00,1.00
SIMULATION,113.6107914,22.3797670,74.3,15.2,103.6,5.0,1.00,1.00
SIMULATION,113.6108010,22.3797686,84.3,15.4,104.6,5.0,1.00,1.00
SIMULATION,113.6108107,22.3797688,94.3,15.4,105.6,5.0,1.00,1.00
SIMULATION,113.6108203,22.3797673,104.3,15.2,106.6,5.0,1.00,1.00
SIMULATION,113.6108294,22.3797643,114.3,14.9,107.5,5.0,1.00,1.00
SIMULATION,113.6108379,22.3797599,124.3,14.4,108.4,5.0,1.00,1.00
